model_key,model_name,output_kind,band_index,band,global_mae_mean,global_mae_median,global_rmse_mean,global_psnr_mean,global_bias_mean,mask_mae_mean,mask_mae_median,mask_rmse_mean,mask_psnr_mean,mask_bias_mean,n_samples,n_mask_valid
conditional,Conditional GAN dengan Patch Discriminator,raw,1,B2,0.015559762386449924,0.01414074469357729,0.01916632534994278,35.36908183155205,-0.000604202039539814,0.014569578923496371,0.009510358795523643,0.01730607543227555,37.37280259076251,-0.0003055359407777837,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,2,B3,0.016673697073808096,0.014797506388276815,0.0205047029958223,34.70110483861351,-0.0023733220477879513,0.015309829534038056,0.01020774058997631,0.018252699486301375,36.950033866096746,-0.005013365323227213,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,3,B4,0.0242971136867709,0.022542666643857956,0.02888075099084138,31.704915027076883,-0.011566271788372736,0.023474543074687534,0.020008394494652748,0.026942797026167198,33.07650030954266,-0.012287516233384121,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,4,B5,0.020495878135989187,0.018665499985218048,0.02476405455066318,33.246500484667415,-0.007205954786210593,0.021272551081744386,0.015116323716938496,0.024505731548558587,34.42256489623269,-0.010882459618429454,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,5,B6,0.020241124293534085,0.017921525985002518,0.02513652847483172,33.19213300869915,-0.005089459524848887,0.019354375317058664,0.013316321186721325,0.02231445312383679,34.9998486620864,-0.005970929347827772,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,6,B7,0.02049221007837332,0.018428316339850426,0.025832159399821347,32.814344185497426,-0.005044052571368714,0.020836608111197856,0.014273743145167828,0.024025448193497806,34.18493229661188,-0.007840527603909471,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,7,B8,0.025156523928065628,0.022416708059608936,0.031196726728618767,31.57095788002627,-0.013052794927716604,0.023506777001056054,0.016455087810754776,0.027433974767309032,33.1082497186254,-0.012127570928735345,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,8,B8A,0.023378421000719147,0.019010335206985474,0.02980124983393277,31.91310227550124,-0.007389641523938432,0.022068499873147893,0.01722818985581398,0.025609957256117182,33.586237842860896,-0.008582861611044946,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,9,B9,0.016843856690684333,0.014874390326440334,0.02072270634380402,34.309677071924945,-0.003588762214349117,0.0195128432266969,0.014696300029754639,0.02233569086951805,35.07280836844784,0.0054992901083702845,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,10,B10,0.005782802169051138,0.005927314981818199,0.006971660150763152,43.81292999871339,0.005098650584007676,0.007477743788919551,0.006878074258565903,0.008318364521573009,43.29592355122806,0.005410710472570433,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,11,B11,0.03162616540309197,0.03000873513519764,0.03805165501883797,29.621149396871573,-0.020121096932598448,0.03449805869707666,0.027487071231007576,0.03918785142841509,30.758797814720413,-0.02069783438796323,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,12,B12,0.03296306730893169,0.03152855113148689,0.03905929162647226,29.429393131406062,-0.019335284687258536,0.032047358883135285,0.021525802090764046,0.03651684546227244,31.311598095341175,-0.01993371669154743,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,0,B1,0.0072221486528481664,0.00586280133575201,0.009090237393441688,42.55289859310946,-0.0022764183765199655,0.01560653865268018,0.011406329460442066,0.018780192699933296,36.62806770841455,-0.002615648217441255,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,1,B2,0.007357954265899025,0.006016245111823082,0.009079042021160907,42.568991856530666,-0.0022143421908064433,0.01526813211698904,0.012751554138958454,0.0183475927694645,36.391009605348195,-0.00030096513458871505,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,2,B3,0.00721650068104888,0.00567654287442565,0.008984619860711973,42.578505113544104,-0.0013603975385194644,0.0152294178111875,0.011257264763116837,0.018576168546644137,36.265326075057956,0.0026894249345812906,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,3,B4,0.00840601243059306,0.006737154675647616,0.010925710670562694,41.01488220979528,0.00020506172707731216,0.021837148346429597,0.01967955380678177,0.025918969405580437,32.72770665201929,0.005315100108018927,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,4,B5,0.008885172957282824,0.007021934958174825,0.011344699598945832,40.2834388033392,-0.0003261229261018646,0.020912619578447325,0.01843668706715107,0.024431054328996338,33.25440462212403,0.007772740919526059,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,5,B6,0.011518883606186137,0.008888693526387215,0.014599568607081892,37.98583122895992,-0.0024992928071393785,0.02045725443208894,0.017758509144186974,0.023894565295074346,33.47815462247123,0.005009142992577758,192,141
