output_kind,model_key,metric,n,mean,median,std,min,q1,q3,max,ci95_low,ci95_high
blended,gan_resnet,band13_global_pearson,192,0.9810583969286798,0.9883448269948586,0.026135996590177818,0.8355362048479864,0.9779408581781118,0.9957132881517521,0.9988834260569952,0.9773614388852946,0.984755354972065
blended,gan_resnet,rgb_global_mse,192,0.00015504808826592045,5.6446381842139486e-05,0.00035045770288597315,4.219409594566787e-06,3.5381251410294295e-05,0.00010761530791483125,0.003503309050658829,0.0001054755602362258,0.0002046206162956151
blended,gan_resnet,band13_global_mse,192,0.0002533607188967874,0.00015267382677097003,0.00034967374318773124,1.4113008305138046e-05,6.832353382453975e-05,0.00029335230985639833,0.0032944322759133706,0.00020389908260608214,0.0003028223551874927
blended,gan_resnet,rgb_mask_mse,141,0.000631752987983012,0.0003465633815117181,0.0009212963487637837,7.092270179342595e-05,0.00020979769801662273,0.0005536326763341926,0.0057688181205651215,0.0004796821759463459,0.000783823800019678
blended,gan_resnet,rgb_mask_rmse,141,0.02184135761639574,0.018616212867060746,0.012482513497248018,0.008421561719385897,0.01448439498276068,0.02352940025445172,0.07595273609663526,0.01978097176299229,0.02390174346979919
blended,gan_resnet,band13_mask_mse,141,0.000935386259270007,0.0006027055282052078,0.0010276974195726897,6.186304668379965e-05,0.00037734557401146343,0.0010744291651327317,0.00821831509034515,0.000765752697461031,0.001105019821078983
blended,gan_resnet,band13_mask_rmse,141,0.027891880015001765,0.024550061674163015,0.012591814143188449,0.007865306521922693,0.019425384784128818,0.03277848631545898,0.09065492314455487,0.025813452802803616,0.029970307227199913
raw,baseline,rgb_global_mae,192,0.023130131676358422,0.0180932146011324,0.01639792069139525,0.0054256364147325,0.012547357783645824,0.025074032611930325,0.0790570080269503,0.020810632414653262,0.025449630938063583
raw,baseline,rgb_mask_mae,141,0.017504048951669314,0.0130809082713707,0.014874846223456618,0.0032987444887035,0.0086239845116106,0.021093158849648,0.0988084863871336,0.015048780408429318,0.019959317494909312
raw,baseline,band13_global_mae,192,0.022437033998264116,0.0201522721090669,0.011912759265664603,0.0045973804912325,0.013197084226527475,0.0296417910596129,0.0621914130920454,0.020751964479902563,0.024122103516625668
raw,baseline,band13_mask_mae,141,0.02016280784032844,0.0148127430156592,0.015449032630135116,0.0032441239267218,0.0108490039802764,0.0243437567516845,0.0945972873653461,0.017612763068743265,0.022712852611913616
raw,baseline,rgb_global_psnr,192,32.170397022646014,32.459222468448104,4.876083293409736,21.13561610632137,29.498289757789067,35.43853996442742,43.936278012747294,31.480671062145934,32.8601229831461
raw,baseline,rgb_mask_psnr,141,35.04148430433274,35.403788045606504,5.443752219307949,19.92275732071312,31.323934960958752,38.65653550409653,47.383649450786976,34.14292889202988,35.9400397166356
raw,baseline,band13_global_psnr,192,31.68784778955265,31.234519692385227,4.430118475589038,22.75712240705015,28.298036014101022,35.01056396662794,45.2126071077814,31.061203916418947,32.31449166268635
raw,baseline,band13_mask_psnr,141,33.43316660512911,33.99384917696713,5.344206026212857,19.76929766390439,29.71140208446192,36.8549600394581,47.601723376030414,32.551042464305226,34.31529074595299
raw,baseline,rgb_global_ssim_standard,192,0.8954729166074271,0.9070048981103208,0.05805138766098712,0.7111614060672508,0.85282040193608,0.9441696014340333,0.9933385287200466,0.8872615004556661,0.9036843327591881
raw,baseline,rgb_global_rmse,192,0.028911158940649277,0.0238253443380253,0.017486881289306706,0.0063560323560501,0.01690725124055685,0.033503293269230176,0.0877443567818039,0.026437625313830555,0.031384692567468
raw,baseline,band13_global_rmse,192,0.029415228850652075,0.02743304858534075,0.014215378591876899,0.0054874382302607,0.017761182233732548,0.03846832637180285,0.0728020954386552,0.027404451949772195,0.031426005751531955
