model_key,model_label,output_kind,band_index,band,n_samples,n_mask_valid_samples,global_mae_mean,global_mae_median,global_mae_std,global_rmse_mean,global_rmse_median,global_rmse_std,global_psnr_mean,global_psnr_median,global_psnr_std,global_bias_mean,global_bias_median,global_bias_std,mask_mae_mean,mask_mae_median,mask_mae_std,mask_rmse_mean,mask_rmse_median,mask_rmse_std,mask_psnr_mean,mask_psnr_median,mask_psnr_std,mask_bias_mean,mask_bias_median,mask_bias_std
baseline,ResUNet,raw,8,B8A,192,141,0.0225486689524,0.0209666155279,0.0111727768878,0.0283579187865,0.0274530658498,0.0129121497171,31.8622124179,31.2282038617,4.09747600337,0.00711366730169,0.00525930221193,0.015741889864,0.0214849231758,0.0161106325686,0.0174833163637,0.0248812692791,0.019721717021,0.0178446582398,33.6977965887,34.1011055401,5.22986435488,-0.00481308585797,-0.00529477139935,0.0249473763148
baseline,ResUNet,raw,9,B9,192,141,0.0161392424319,0.0148602081463,0.00635296453481,0.0200663958118,0.0186872910708,0.00741887973857,34.4867028161,34.5690731969,3.05121173736,0.00318917132699,0.0040860476438,0.0131804834723,0.0211894497975,0.0151795493439,0.0193740346987,0.0239875340186,0.0185545463306,0.0194790082116,34.4872172329,34.6309931988,5.99907746314,0.0074168128345,0.00717590004206,0.0266875324194
baseline,ResUNet,raw,10,B10,192,141,0.00939794396678,0.0078508395236,0.00541461971614,0.0109270528368,0.0089666810818,0.00623116095303,40.6410633868,40.9473654143,5.09880409662,0.00886233782542,0.00731451390311,0.0057154271177,0.00839526240767,0.00699522998184,0.00803681821729,0.00922715848022,0.00759492334673,0.00837667149721,42.9772862286,42.3895320996,6.1531869356,0.00583509458749,0.0049483529292,0.00937124253232
baseline,ResUNet,raw,11,B11,192,141,0.0302990144046,0.0289118224755,0.0148818611039,0.0367305408739,0.0358574148268,0.0161854542318,29.8140883119,28.9084218487,4.91835514003,-0.0157371058516,-0.012276803609,0.0215358948958,0.0312970099865,0.020531790331,0.0306254517109,0.0360877907229,0.0253304251568,0.0331462385255,31.5215607281,31.9271504153,6.82196938313,-0.0128058397817,-0.00919700972736,0.0392903520209
baseline,ResUNet,raw,12,B12,192,141,0.0312157726209,0.0304778367281,0.0155094123013,0.0375154498349,0.0380908157676,0.0165056521404,29.664723023,28.3835999617,5.0326454075,-0.0144267411142,-0.0125449672341,0.0244237027032,0.0289880508682,0.0183166712523,0.0305155896215,0.0334406134591,0.0232667051855,0.0338056920784,32.1786807351,32.6653022621,6.66036061816,-0.0125335727386,-0.0100361593068,0.0369250246528
gan_resnet,GAN ResNet-like,blended,0,B1,192,141,0.00722214865285,0.00586280133575,0.00579324650498,0.00909023739344,0.00688199116848,0.00774431855884,42.5528985931,43.2457204307,4.99589882031,-0.00227641837652,-0.00365459965542,0.00765208277799,0.0156065386527,0.0114063294604,0.0118701511834,0.0187801926999,0.0136473832273,0.0140150386689,36.6280677084,37.2990122602,6.06892437218,-0.00261564821744,0.00148750527296,0.0175149172822
gan_resnet,GAN ResNet-like,blended,1,B2,192,141,0.0073579542659,0.00601624511182,0.00604135003784,0.00907904202116,0.0069815767929,0.00805548717877,42.5689918565,43.1210044639,4.9631160382,-0.00221434219081,-0.00318961357698,0.00766641798769,0.015268132117,0.012751554139,0.0117640048825,0.0183475927695,0.0157770040541,0.0128316102577,36.3910096053,36.0395092574,5.32268459013,-0.000300965134589,0.000630040303804,0.0171224535561
gan_resnet,GAN ResNet-like,blended,2,B3,192,141,0.00721650068105,0.00567654287443,0.00537316604938,0.00898461986071,0.00672240089625,0.00715379152349,42.5785051135,43.449533592,4.89744981346,-0.00136039753852,-0.00240989215672,0.00695062214895,0.0152294178112,0.0112572647631,0.0122440174548,0.0185761685466,0.0145796167474,0.013181428599,36.2653260751,36.7250778423,5.22569441552,0.00268942493458,0.0004989921581,0.0170539243674
gan_resnet,GAN ResNet-like,blended,3,B4,192,141,0.00840601243059,0.00673715467565,0.00611965065291,0.0109257106706,0.00867931777611,0.00821678015554,41.0148822098,41.2302907273,5.42651081234,0.000205061727077,-0.001071812585,0.00730911047666,0.0218371483464,0.0196795538068,0.0138295747316,0.0259189694056,0.0229869795652,0.0143990872932,32.727706652,32.770361805,4.06150215547,0.00531510010802,0.00397489033639,0.0221199924483
gan_resnet,GAN ResNet-like,blended,4,B5,192,141,0.00888517295728,0.00702193495817,0.00590779611883,0.0113446995989,0.00875562708825,0.00805122216723,40.2834388033,41.154292413,4.58894729067,-0.000326122926102,-0.00123637495562,0.00758102103588,0.0209126195784,0.0184366870672,0.0129374020252,0.024431054329,0.0226927834212,0.01364477452,33.2544046221,32.8822446347,4.13025268761,0.00777274091953,0.00640389323235,0.0205347658293
