split,variable,n_pixels,min,p01,p05,p25,median,mean,p75,p95,p99,max,std,quantile_method
validation,cloud_probability_t3,12582912,0.034848831593990326,0.0670166015625,0.0855712890625,0.1256103515625,0.3040771484375,0.3689147077841417,0.6256103515625,0.7352294921875,0.7694091796875,0.8395702838897705,0.2433631286428127,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,soft_cloud_mask_t0,12582912,0.0,0.0001220703125,0.0001220703125,0.0001220703125,0.0086669921875,0.14243147524466068,0.1580810546875,0.9998779296875,0.9998779296875,1.0,0.2666928919733416,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B1_all_t,50331648,0.10050000250339508,0.1199951171875,0.1280517578125,0.1536865234375,0.1815185546875,0.25641655663976914,0.2752685546875,0.6658935546875,0.8314208984375,1.0,0.17042863881562,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B1,12582912,0.10649746656417847,0.1209716796875,0.1253662109375,0.1417236328125,0.1578369140625,0.16349223980471686,0.1800537109375,0.2091064453125,0.2598876953125,0.8136923313140869,0.03494735852596094,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B2_all_t,50331648,0.05640000104904175,0.0889892578125,0.0985107421875,0.1322021484375,0.1654052734375,0.2370971997210912,0.2576904296875,0.6539306640625,0.8228759765625,1.0,0.17372148163268666,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B2,12582912,0.07005898654460907,0.0904541015625,0.0950927734375,0.1129150390625,0.1356201171875,0.14138442689146066,0.1619873046875,0.2025146484375,0.2469482421875,0.7319852709770203,0.04030110415997805,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B3_all_t,50331648,0.03999999910593033,0.0616455078125,0.0794677734375,0.1231689453125,0.1629638671875,0.22467806697194628,0.2532958984375,0.6131591796875,0.7774658203125,1.0,0.16402197811697017,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B3,12582912,0.04810111224651337,0.0650634765625,0.0726318359375,0.0960693359375,0.1285400390625,0.13388173552942936,0.1624755859375,0.2152099609375,0.2554931640625,0.7114959955215454,0.048626941181022024,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B4_all_t,50331648,0.025299999862909317,0.0350341796875,0.0640869140625,0.1314697265625,0.1910400390625,0.24529431908991695,0.2933349609375,0.6529541015625,0.8328857421875,1.0,0.17601731587238342,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B4,12582912,0.032161813229322433,0.0396728515625,0.0511474609375,0.0909423828125,0.1446533203125,0.1488800614055871,0.1947021484375,0.2672119140625,0.3170166015625,0.7665045261383057,0.06988740662986602,4096-bin histogram over all pixels; maximum bin error 1/4096
